submission_id,id,sha,path,size,blob,created_at,updated_at,comments_count
520772,28603582,1a77b8162bf15d1c70ef804ef5fe0fa08cb49004,build/android-profile/profile-2017-05-28-15-32-43-467.rawproto,7408,https://udacity-reviews-uploads.s3-us-west-2.amazonaws.com/_git_blobs/1a/77/b8162bf15d1c70ef804ef5fe0fa08cb49004,2017-05-28T10:08:27.768Z,2017-05-28T10:08:27.768Z,0
520772,28603581,d8dd3c6bbe072f5c6cecc4a92b07dbdc37ee48ea,build/android-profile/profile-2017-05-28-15-32-11-144.rawproto,3772,https://udacity-reviews-uploads.s3-us-west-2.amazonaws.com/_git_blobs/d8/dd/3c6bbe072f5c6cecc4a92b07dbdc37ee48ea,2017-05-28T10:08:27.698Z,2017-05-28T10:08:27.698Z,0
520772,28603580,6a4b4b9cb165e7f1eca8797a9888d7165a3104ae,build/android-profile/profile-2017-05-28-15-31-07-950.rawproto,3774,https://udacity-reviews-uploads.s3-us-west-2.amazonaws.com/_git_blobs/6a/4b/4b9cb165e7f1eca8797a9888d7165a3104ae,2017-05-28T10:08:27.677Z,2017-05-28T10:08:27.677Z,0
520772,28603579,a9ac53ab0219ca58bf7479b591b8b0bd04e6aa5f,build/android-profile/profile-2017-05-28-15-27-11-483.rawproto,5917,https://udacity-reviews-uploads.s3-us-west-2.amazonaws.com/_git_blobs/a9/ac/53ab0219ca58bf7479b591b8b0bd04e6aa5f,2017-05-28T10:08:27.635Z,2017-05-28T10:08:27.635Z,0
520772,28603578,d97ba48c0121f530de9710e173dc652d08beec4c,build.gradle,521,https://udacity-reviews-uploads.s3-us-west-2.amazonaws.com/_git_blobs/d9/7b/a48c0121f530de9710e173dc652d08beec4c,2017-05-28T10:08:27.586Z,2017-05-28T10:08:27.586Z,0
520772,28603577,50600ea13fa73a8c6503f93305286a79b6e826cc,app/src/test/java/com/example/news_app/newsapp/ExampleUnitTest.java,422,https://udacity-reviews-uploads.s3-us-west-2.amazonaws.com/_git_blobs/50/60/0ea13fa73a8c6503f93305286a79b6e826cc,2017-05-28T10:08:27.554Z,2017-05-28T10:08:27.554Z,0
520772,28603576,fadb110679e59f2ef72a8e55f7bccc50f25995fe,app/src/main/res/xml/preferences.xml,449,https://udacity-reviews-uploads.s3-us-west-2.amazonaws.com/_git_blobs/fa/db/110679e59f2ef72a8e55f7bccc50f25995fe,2017-05-28T10:08:27.513Z,2017-05-28T10:08:27.513Z,0
520772,28603575,03cba9c11d83463e9c43621350e0fbe2246a5d75,app/src/main/res/values/styles.xml,394,https://udacity-reviews-uploads.s3-us-west-2.amazonaws.com/_git_blobs/03/cb/a9c11d83463e9c43621350e0fbe2246a5d75,2017-05-28T10:08:27.492Z,2017-05-28T10:08:27.492Z,0
520772,28603574,8f6585a92134d92ada418ecbc967ee045e4e5647,app/src/main/res/values/strings.xml,1038,https://udacity-reviews-uploads.s3-us-west-2.amazonaws.com/_git_blobs/8f/65/85a92134d92ada418ecbc967ee045e4e5647,2017-05-28T10:08:27.472Z,2017-05-28T10:08:27.472Z,0
520772,28603573,4c6d577739acf4c01c19616998ce6325e62e9d17,app/src/main/res/values/colors.xml,214,https://udacity-reviews-uploads.s3-us-west-2.amazonaws.com/_git_blobs/4c/6d/577739acf4c01c19616998ce6325e62e9d17,2017-05-28T10:08:27.448Z,2017-05-28T10:08:27.448Z,0
